时间,压力,冲击力,温度
2019-05-19 08:23:19:513,0,0,0
2019-05-19 08:23:19:514,0,0,0
2019-05-19 08:23:19:515,0,0,0
2019-05-19 08:23:19:516,0,0,0
2019-05-19 08:23:19:517,0,0,0
2019-05-19 08:23:19:518,0,0,0
2019-05-19 08:23:19:519,0,0,0
2019-05-19 08:23:19:520,0,0,0
2019-05-19 08:23:19:521,0,0,0
2019-05-19 08:23:19:522,0,0,0
2019-05-19 08:23:19:523,0,0,0
2019-05-19 08:23:19:524,0,0,0
2019-05-19 08:23:19:525,0,0,0
2019-05-19 08:23:19:526,0,0,0
2019-05-19 08:23:19:527,0,0,0
2019-05-19 08:23:19:528,0,0,0
2019-05-19 08:23:19:529,0,0,0
2019-05-19 08:23:19:530,0,0,0
2019-05-19 08:23:19:531,0,0,0
2019-05-19 08:23:19:532,0,0,0
2019-05-19 08:23:19:533,0,0,0
2019-05-19 08:23:19:534,0,0,0
2019-05-19 08:23:19:535,0,0,0
2019-05-19 08:23:19:536,0,0,0
2019-05-19 08:23:19:537,0,0,0
2019-05-19 08:23:19:538,0,0,0
2019-05-19 08:23:19:539,0,0,0
2019-05-19 08:23:19:540,0,0,0
2019-05-19 08:23:19:541,0,0,0
2019-05-19 08:23:19:542,0,0,0
2019-05-19 08:23:19:543,0,0,0
2019-05-19 08:23:19:544,0,0,0
2019-05-19 08:23:19:545,0,0,0
2019-05-19 08:23:19:546,0,0,0
2019-05-19 08:23:19:547,0,0,0
2019-05-19 08:23:19:548,0,0,0
2019-05-19 08:23:19:549,0,0,0
2019-05-19 08:23:19:550,0,0,0
2019-05-19 08:23:19:551,0,0,0
2019-05-19 08:23:19:552,0,0,0
2019-05-19 08:23:19:553,0,0,0
2019-05-19 08:23:19:554,0,0,0
2019-05-19 08:23:19:555,0,0,0
2019-05-19 08:23:19:556,0,0,0
2019-05-19 08:23:19:557,0,0,0
2019-05-19 08:23:19:558,0,0,0
2019-05-19 08:23:19:559,0,0,0
2019-05-19 08:23:19:560,0,0,0
2019-05-19 08:23:19:561,0,0,0
2019-05-19 08:23:19:562,0,0,0
2019-05-19 08:23:19:563,0,0,0
2019-05-19 08:23:19:564,0,0,0
2019-05-19 08:23:19:565,0,0,0
2019-05-19 08:23:19:566,0,0,0
2019-05-19 08:23:19:567,0,0,0
2019-05-19 08:23:19:568,0,0,0
2019-05-19 08:23:19:569,0,0,0
2019-05-19 08:23:19:570,0,0,0
2019-05-19 08:23:19:571,0,0,0
2019-05-19 08:23:19:572,0,0,0
2019-05-19 08:23:19:573,0,0,0
2019-05-19 08:23:19:574,0,0,0
2019-05-19 08:23:19:575,0,0,0
2019-05-19 08:23:19:576,0,0,0
2019-05-19 08:23:19:577,0,0,0
2019-05-19 08:23:19:578,0,0,0
2019-05-19 08:23:19:579,0,0,0
2019-05-19 08:23:19:580,0,0,0
2019-05-19 08:23:19:581,0,0,0
2019-05-19 08:23:19:582,0,0,0
2019-05-19 08:23:19:583,0,0,0
2019-05-19 08:23:19:584,0,0,0
2019-05-19 08:23:19:585,0,0,0
2019-05-19 08:23:19:586,0,0,0
2019-05-19 08:23:19:587,0,0,0
2019-05-19 08:23:19:588,0,0,0
2019-05-19 08:23:19:589,0,0,0
2019-05-19 08:23:19:590,0,0,0
2019-05-19 08:23:19:591,0,0,0
2019-05-19 08:23:19:592,0,0,0
2019-05-19 08:23:19:593,0,0,0
2019-05-19 08:23:19:594,0,0,0
2019-05-19 08:23:19:595,0,0,0
2019-05-19 08:23:19:596,0,0,0
2019-05-19 08:23:19:597,0,0,0
2019-05-19 08:23:19:598,0,0,0
2019-05-19 08:23:19:599,0,0,0
2019-05-19 08:23:19:600,0,0,0
2019-05-19 08:23:19:601,0,0,0
2019-05-19 08:23:19:602,0,0,0
2019-05-19 08:23:19:603,0,0,0
2019-05-19 08:23:19:604,0,0,0
2019-05-19 08:23:19:605,0,0,0
2019-05-19 08:23:19:606,0,0,0
2019-05-19 08:23:19:607,0,0,0
2019-05-19 08:23:19:608,0,0,0
2019-05-19 08:23:19:609,0,0,0
2019-05-19 08:23:19:610,0,0,0
2019-05-19 08:23:19:611,0,0,0
2019-05-19 08:23:19:612,0,0,0
2019-05-19 08:23:19:613,0,0,0
2019-05-19 08:23:19:614,0,0,0
2019-05-19 08:23:19:615,0,0,0
2019-05-19 08:23:19:616,0,0,0
2019-05-19 08:23:19:617,0,0,0
2019-05-19 08:23:19:618,0,0,0
2019-05-19 08:23:19:619,0,0,0
2019-05-19 08:23:19:620,0,0,0
2019-05-19 08:23:19:621,0,0,0
2019-05-19 08:23:19:622,0,0,0
2019-05-19 08:23:19:623,0,0,0
2019-05-19 08:23:19:624,0,0,0
2019-05-19 08:23:19:625,0,0,0
2019-05-19 08:23:19:626,0,0,0
2019-05-19 08:23:19:627,0,0,0
2019-05-19 08:23:19:628,0,0,0
2019-05-19 08:23:19:629,0,0,0
2019-05-19 08:23:19:630,0,0,0
2019-05-19 08:23:19:631,0,0,0
2019-05-19 08:23:19:632,0,0,0
2019-05-19 08:23:19:633,0,0,0
2019-05-19 08:23:19:634,0,0,0
2019-05-19 08:23:19:635,0,0,0
2019-05-19 08:23:19:636,0,0,0
2019-05-19 08:23:19:637,0,0,0
2019-05-19 08:23:19:638,0,0,0
2019-05-19 08:23:19:639,0,0,0
2019-05-19 08:23:19:640,0,0,0
2019-05-19 08:23:19:641,0,0,0
2019-05-19 08:23:19:642,0,0,0
2019-05-19 08:23:19:643,0,0,0
2019-05-19 08:23:19:644,0,0,0
2019-05-19 08:23:19:645,0,0,0
2019-05-19 08:23:19:646,0,0,0
2019-05-19 08:23:19:647,0,0,0
2019-05-19 08:23:19:648,0,0,0
2019-05-19 08:23:19:649,0,0,0
2019-05-19 08:23:19:650,0,0,0
2019-05-19 08:23:19:651,0,0,0
2019-05-19 08:23:19:652,0,0,0
2019-05-19 08:23:19:653,0,0,0
2019-05-19 08:23:19:654,0,0,0
2019-05-19 08:23:19:655,0,0,0
2019-05-19 08:23:19:656,0,0,0
2019-05-19 08:23:19:657,0,0,0
2019-05-19 08:23:19:658,0,0,0
2019-05-19 08:23:19:659,0,0,0
2019-05-19 08:23:19:660,0,0,0
2019-05-19 08:23:19:661,0,0,0
2019-05-19 08:23:19:662,0,0,0
2019-05-19 08:23:19:663,0,0,0
2019-05-19 08:23:19:664,0,0,0
2019-05-19 08:23:19:665,0,0,0
2019-05-19 08:23:19:666,0,0,0
2019-05-19 08:23:19:667,0,0,0
2019-05-19 08:23:19:668,0,0,0
2019-05-19 08:23:19:669,0,0,0
2019-05-19 08:23:19:670,0,0,0
2019-05-19 08:23:19:671,0,0,0
2019-05-19 08:23:19:672,0,0,0
2019-05-19 08:23:19:673,0,0,0
2019-05-19 08:23:19:674,0,0,0
2019-05-19 08:23:19:675,0,0,0
2019-05-19 08:23:19:676,0,0,0
2019-05-19 08:23:19:677,0,0,0
2019-05-19 08:23:19:678,0,0,0
2019-05-19 08:23:19:679,0,0,0
2019-05-19 08:23:25:468,0.01,0,0
2019-05-19 08:23:25:469,0,0,0
